N,k,h,err_u,rate_u,err_p,rate_p,err_lambda,rate_lambda,cond_local_max
4,1,0.3535533905932738,10.131828472868955,,0.5930209294830888,,1.2373695251820662,,349927.4250748264
8,1,0.1767766952966369,4.685845512588772,1.112513262259968,0.1371226924724867,2.112615679816594,0.41403690163425666,1.579445146942981,1399032.5029761076
16,1,0.08838834764831845,1.519741669017752,1.6244832806615992,0.024483094199234445,2.4856095388935544,0.09448469691968513,2.1316067664203184,5595452.9247523
4,2,0.3535533905932738,4.1030931979613525,,0.11479268885263454,,0.33820515140894825,,189930.98199245293
8,2,0.1767766952966369,0.58056960264307,2.8211709813922567,0.007212991061908273,3.9922893133789943,0.032605153971689955,3.3747266967645477,759550.4748630215
16,2,0.08838834764831845,0.38874398122013404,0.5786486988789706,0.002428802854728755,1.5703522445158056,0.0164193221437669,0.9897054645655334,3038028.46056817
4,3,0.3535533905932738,0.05950939730718256,,0.001085825852727561,,0.005539665445588652,,181401.1171817812
8,3,0.1767766952966369,0.006828897159859559,3.123392993863902,6.115237909132185e-05,4.150240301783584,0.0004061754323426724,3.76962396540988,725597.4409642782
16,3,0.08838834764831845,0.00087859049237583,2.958389815155418,3.81772211544394e-06,4.001624626190164,3.571718992797629e-05,3.5074124952679933,2902382.7364258277
4,4,0.3535533905932738,0.0023469892909878947,,3.743894677509928e-05,,0.00023165612821293198,,670575.9966252813
8,4,0.1767766952966369,0.00016186025935014176,3.8579905417074896,1.2593193447635723e-06,4.8938237691938,1.1760241612994082e-05,4.299995242199248,2682297.339809994
16,4,0.08838834764831845,1.053307300014702e-05,3.941750506331435,4.047263641996977e-08,4.959553534975043,5.474594123510014e-07,4.425021880397702,10729182.713043384
4,5,0.3535533905932738,0.00011295967500800599,,1.7473736755513038e-06,,9.8572838725886e-06,,2334815.842508915
8,5,0.1767766952966369,3.445143764789998e-06,5.035099845373085,2.677394430643736e-08,6.028214660305291,2.0483094992744614e-07,5.588684545708035,9339254.679474432
16,5,0.08838834764831845,1.0602127806889248e-07,5.022138445016379,4.125237803164358e-10,6.020208593320099,4.3598285891293005e-09,5.554018497430668,37357010.06109135
