case,solver,N,k,h,beta_max,delta1,delta2,delta3,err_u,rate_u,err_p,rate_p,err_lambda,rate_lambda,time_s,cond_local_max
beta,hybrid,4,1,0.3535533905932738,28.2842712474619,0.0,0.0,0.0,10.131828472868955,,0.5930209294830888,,1.2373695251820662,,0.01893901824951172,349927.4250748264
beta,hybrid,8,1,0.1767766952966369,56.5685424949238,0.0,0.0,0.0,4.685845512588772,1.112513262259968,0.1371226924724867,2.112615679816594,0.41403690163425666,1.579445146942981,0.05822491645812988,1399032.5029761076
beta,hybrid,16,1,0.08838834764831845,113.1370849898476,0.0,0.0,0.0,1.519741669017752,1.6244832806615992,0.024483094199234445,2.4856095388935544,0.09448469691968513,2.1316067664203184,0.22690272331237793,5595452.9247523
beta,hybrid,4,2,0.3535533905932738,113.1370849898476,0.0,0.0,0.0,4.1030931979613525,,0.11479268885263454,,0.33820515140894825,,0.01670527458190918,189930.98199245293
beta,hybrid,8,2,0.1767766952966369,226.2741699796952,0.0,0.0,0.0,0.58056960264307,2.8211709813922567,0.007212991061908273,3.9922893133789943,0.032605153971689955,3.3747266967645477,0.0622553825378418,759550.4748630215
beta,hybrid,16,2,0.08838834764831845,452.5483399593904,0.0,0.0,0.0,0.38874398122013404,0.5786486988789706,0.002428802854728755,1.5703522445158056,0.0164193221437669,0.9897054645655334,0.2524428367614746,3038028.46056817
beta,hybrid,4,3,0.3535533905932738,254.5584412271571,0.0,0.0,0.0,0.05950939730718256,,0.001085825852727561,,0.005539665445588652,,0.018997669219970703,181401.1171817812
beta,hybrid,8,3,0.1767766952966369,509.1168824543142,0.0,0.0,0.0,0.006828897159859559,3.123392993863902,6.115237909132185e-05,4.150240301783584,0.0004061754323426724,3.76962396540988,0.07187652587890625,725597.4409642782
beta,hybrid,16,3,0.08838834764831845,1018.2337649086284,0.0,0.0,0.0,0.00087859049237583,2.958389815155418,3.81772211544394e-06,4.001624626190164,3.571718992797629e-05,3.5074124952679933,0.3020486831665039,2902382.7364258277
beta,hybrid,4,4,0.3535533905932738,452.5483399593904,0.0,0.0,0.0,0.0023469892909878947,,3.743894677509928e-05,,0.00023165612821293198,,0.023773193359375,670575.9966252813
beta,hybrid,8,4,0.1767766952966369,905.0966799187808,0.0,0.0,0.0,0.00016186025935014176,3.8579905417074896,1.2593193447635723e-06,4.8938237691938,1.1760241612994082e-05,4.299995242199248,0.08982133865356445,2682297.339809994
beta,hybrid,16,4,0.08838834764831845,1810.1933598375615,0.0,0.0,0.0,1.053307300014702e-05,3.941750506331435,4.047263641996977e-08,4.959553534975043,5.474594123510014e-07,4.425021880397702,0.37247300148010254,10729182.713043384
beta,hybrid,4,5,0.3535533905932738,707.1067811865474,0.0,0.0,0.0,0.00011295967500800599,,1.7473736755513038e-06,,9.8572838725886e-06,,0.028298377990722656,2334815.842508915
beta,hybrid,8,5,0.1767766952966369,1414.2135623730949,0.0,0.0,0.0,3.445143764789998e-06,5.035099845373085,2.677394430643736e-08,6.028214660305291,2.0483094992744614e-07,5.588684545708035,0.11172771453857422,9339254.679474432
beta,hybrid,16,5,0.08838834764831845,2828.4271247461897,0.0,0.0,0.0,1.0602127806889248e-07,5.022138445016379,4.125237803164358e-10,6.020208593320099,4.3598285891293005e-09,5.554018497430668,0.473771333694458,37357010.06109135
delta1,hybrid,4,1,0.3535533905932738,0.0,-0.5,0.0,0.0,0.3759687852274103,,0.03845424507788853,,0.14334389634087416,,0.018497467041015625,579.9455731934121
delta1,hybrid,8,1,0.1767766952966369,0.0,-0.5,0.0,0.0,0.15445016219848484,1.2834715012193338,0.010087384926587117,1.9305906545237819,0.05025407626376297,1.5121679475530796,0.061219215393066406,2307.9861829919973
delta1,hybrid,16,1,0.08838834764831845,0.0,-0.5,0.0,0.0,0.07216833280061064,1.0977035542484879,0.0025581672094787716,1.9793697445412557,0.01758474703223601,1.5149160414733411,0.2283618450164795,9219.996532293619
delta1,hybrid,4,2,0.3535533905932738,0.0,-0.5,0.0,0.0,0.05111748433178327,,0.002690548619039779,,0.011868858663934166,,0.017345190048217773,6750.092427162704
delta1,hybrid,8,2,0.1767766952966369,0.0,-0.5,0.0,0.0,0.011401367491756341,2.1646099649220427,0.00032833919722046324,3.0346414823492305,0.002031687338288885,2.546430904691218,0.06918478012084961,26973.376200655417
delta1,hybrid,16,2,0.08838834764831845,0.0,-0.5,0.0,0.0,0.002643843849245715,2.1084979971034468,4.053945059391554e-05,3.017788547411875,0.00035179442853323846,2.529873859316939,0.26528000831604004,107866.46756527726
delta1,hybrid,4,3,0.3535533905932738,0.0,-0.5,0.0,0.0,0.004536159461751992,,0.00024212146547832094,,0.001120308223859569,,0.021201372146606445,36085.197835293446
delta1,hybrid,8,3,0.1767766952966369,0.0,-0.5,0.0,0.0,0.0005218473590015021,3.1197715733837486,1.50905174179125e-05,4.004016809922969,9.94282794974614e-05,3.494095653913888,0.07805585861206055,144330.57431594748
delta1,hybrid,16,3,0.08838834764831845,0.0,-0.5,0.0,0.0,6.215345141997239e-05,3.069721466042628,9.382076745344875e-07,4.007591160944355,8.75197948071813e-06,3.5059749822121593,0.31444668769836426,577312.0776390022
delta1,hybrid,4,4,0.3535533905932738,0.0,-0.5,0.0,0.0,0.00043278216891827964,,1.8057447086375947e-05,,8.711421606358344e-05,,0.024259567260742188,144802.03050903947
delta1,hybrid,8,4,0.1767766952966369,0.0,-0.5,0.0,0.0,2.659621713840305e-05,4.02434809334528,5.74320346389348e-07,4.974594459797832,3.905228016360021e-06,4.4794294784515705,0.09010887145996094,579186.5027244082
delta1,hybrid,16,4,0.08838834764831845,0.0,-0.5,0.0,0.0,1.6444828885058952e-06,4.015515159822084,1.803583580432234e-08,4.992917486671378,1.7312030330657991e-07,4.49555994913885,0.36798644065856934,2316724.388789412
delta1,hybrid,4,5,0.3535533905932738,0.0,-0.5,0.0,0.0,3.3896953769716575e-05,,1.1201527065048959e-06,,5.722634854522434e-06,,0.028468608856201172,512661.0688175279
delta1,hybrid,8,5,0.1767766952966369,0.0,-0.5,0.0,0.0,1.0430034252474298e-06,5.022339827147493,1.7718171919621737e-08,5.982321852179643,1.2759909172835277e-07,5.486989590541832,0.11131095886230469,2050613.981091354
delta1,hybrid,16,5,0.08838834764831845,0.0,-0.5,0.0,0.0,3.22543676258652e-08,5.015105553613948,2.7751964689695883e-10,5.996496040514244,2.8213580202583394e-09,5.499084499180524,0.46833038330078125,8202425.6281081885
delta1_delta2,hybrid,4,1,0.3535533905932738,0.0,-0.5,0.5,0.0,0.37596878522740806,,0.03845424507788756,,0.14334389634087277,,0.019848346710205078,784.6602803877742
delta1_delta2,hybrid,8,1,0.1767766952966369,0.0,-0.5,0.5,0.0,0.15445016219848076,1.2834715012193632,0.010087384926588576,1.9305906545235372,0.05025407626376292,1.5121679475530667,0.06621456146240234,3088.912396884556
delta1_delta2,hybrid,16,1,0.08838834764831845,0.0,-0.5,0.5,0.0,0.0721683328005987,1.0977035542486886,0.00255816720948071,1.9793697445403713,0.01758474703223645,1.514916041473304,0.2538454532623291,12304.977923837454
