N,k,h,err_u,rate_u,err_p,rate_p,err_lambda,rate_lambda,cond_local_max
4,1,0.3535533905932738,0.3759687852274103,,0.03845424507788853,,0.14334389634087416,,579.9455731934121
8,1,0.1767766952966369,0.15445016219848484,1.2834715012193338,0.010087384926587117,1.9305906545237819,0.05025407626376297,1.5121679475530796,2307.9861829919973
16,1,0.08838834764831845,0.07216833280061064,1.0977035542484879,0.0025581672094787716,1.9793697445412557,0.01758474703223601,1.5149160414733411,9219.996532293619
4,2,0.3535533905932738,0.05111748433178327,,0.002690548619039779,,0.011868858663934166,,6750.092427162704
8,2,0.1767766952966369,0.011401367491756341,2.1646099649220427,0.00032833919722046324,3.0346414823492305,0.002031687338288885,2.546430904691218,26973.376200655417
16,2,0.08838834764831845,0.002643843849245715,2.1084979971034468,4.053945059391554e-05,3.017788547411875,0.00035179442853323846,2.529873859316939,107866.46756527726
4,3,0.3535533905932738,0.004536159461751992,,0.00024212146547832094,,0.001120308223859569,,36085.197835293446
8,3,0.1767766952966369,0.0005218473590015021,3.1197715733837486,1.50905174179125e-05,4.004016809922969,9.94282794974614e-05,3.494095653913888,144330.57431594748
16,3,0.08838834764831845,6.215345141997239e-05,3.069721466042628,9.382076745344875e-07,4.007591160944355,8.75197948071813e-06,3.5059749822121593,577312.0776390022
4,4,0.3535533905932738,0.00043278216891827964,,1.8057447086375947e-05,,8.711421606358344e-05,,144802.03050903947
8,4,0.1767766952966369,2.659621713840305e-05,4.02434809334528,5.74320346389348e-07,4.974594459797832,3.905228016360021e-06,4.4794294784515705,579186.5027244082
16,4,0.08838834764831845,1.6444828885058952e-06,4.015515159822084,1.803583580432234e-08,4.992917486671378,1.7312030330657991e-07,4.49555994913885,2316724.388789412
4,5,0.3535533905932738,3.3896953769716575e-05,,1.1201527065048959e-06,,5.722634854522434e-06,,512661.0688175279
8,5,0.1767766952966369,1.0430034252474298e-06,5.022339827147493,1.7718171919621737e-08,5.982321852179643,1.2759909172835277e-07,5.486989590541832,2050613.981091354
16,5,0.08838834764831845,3.22543676258652e-08,5.015105553613948,2.7751964689695883e-10,5.996496040514244,2.8213580202583394e-09,5.499084499180524,8202425.6281081885
