N,k,h,err_u,rate_u,err_p,rate_p,err_lambda,rate_lambda,cond_local_max
4,1,0.3535533905932738,0.37596878522740806,,0.03845424507788756,,0.14334389634087277,,784.6602803877742
8,1,0.1767766952966369,0.15445016219848076,1.2834715012193632,0.010087384926588576,1.9305906545235372,0.05025407626376292,1.5121679475530667,3088.912396884556
16,1,0.08838834764831845,0.0721683328005987,1.0977035542486886,0.00255816720948071,1.9793697445403713,0.01758474703223645,1.514916041473304,12304.977923837454
4,2,0.3535533905932738,0.047838201711267986,,0.0031972793620135063,,0.011847712944492111,,6715.525424537288
8,2,0.1767766952966369,0.0105258104293225,2.184231840993214,0.00039106143671965474,3.0313776235701284,0.0020286132728072836,2.5460428249658884,26764.064896066466
16,2,0.08838834764831845,0.002418569948065845,2.121705149082042,4.8269017818860904e-05,3.0182259001595115,0.00035132080278266875,2.5296329507563855,106958.0428621084
4,3,0.3535533905932738,0.0032963928088681578,,0.000298591935036426,,0.001107016186436848,,35299.331084387566
8,3,0.1767766952966369,0.0003566727105189988,3.2082154262751112,1.8507036487191196e-05,4.012029397292543,9.832597275456722e-05,3.492959952622715,141184.53967049
16,3,0.08838834764831845,4.102349431143423e-05,3.1200785491289076,1.1470185463264147e-06,4.012113272600709,8.659112049174678e-06,3.5052815579282104,564725.3598083134
4,4,0.3535533905932738,0.00022291514666788063,,2.2055506771044695e-05,,8.543324926596364e-05,,141654.16318318574
8,4,0.1767766952966369,1.2282640796528841e-05,4.181801966379641,7.003826703536949e-07,4.976851712049357,3.8304288822329935e-06,4.479219812397373,566583.3459883269
16,4,0.08838834764831845,7.198431957980724e-07,4.09279428964713,2.1975639852863633e-08,4.994166310182295,1.6981927476566035e-07,4.495433814110887,2266300.0336346305
4,5,0.3535533905932738,1.2714424961223912e-05,,1.350931173857203e-06,,5.574842421669318e-06,,493323.310991819
8,5,0.1767766952966369,3.406691494073478e-07,5.2219510995109,2.134304859703373e-08,5.98404410259222,1.2445004656091034e-07,5.485292351242004,1973247.8602968915
16,5,0.08838834764831845,9.811690227265775e-09,5.117725808245382,3.3403716551714676e-10,5.99761382401817,2.75353291686996e-09,5.498139104689706,7892946.027823375
