N,k,h,err_u,rate_u,err_p,rate_p,err_lambda,rate_lambda,cond_local_max
4,1,0.3535533905932738,0.3977680293959994,,0.035647739145522515,,0.18790361382955817,,784.6602803877821
8,1,0.1767766952966369,0.17149994339467625,1.2137192240006425,0.008913952643618923,1.999673379218311,0.11389330989969725,0.722309807916249,3088.912396884899
16,1,0.08838834764831845,0.08193630678426071,1.0656333291900462,0.002224482286647184,2.002595685982135,0.07738819807445506,0.5574975324734243,12304.977923837529
4,2,0.3535533905932738,0.09845671563081553,,0.004520067992669818,,0.15135447529124285,,5415.160024634082
8,2,0.1767766952966369,0.025906927214516484,1.926151704656761,0.0006507092417588566,2.7962595253985465,0.06578044619279587,1.2022006345965528,21603.48285074235
16,2,0.08838834764831845,0.006608750390997947,1.9708884974899437,8.373090854271692e-05,2.958180859249724,0.025469590745132623,1.3688830160580725,86356.82368262594
4,3,0.3535533905932738,0.004008691492845745,,0.00030972856942653836,,0.07779634192338844,,19136.31290116459
8,3,0.1767766952966369,0.0005438520807041134,2.8818451732194488,1.9340881124550592e-05,4.001279036455891,0.015189376104182235,2.356639706468457,76484.17156456017
16,3,0.08838834764831845,7.473063207988749e-05,2.86344268430858,1.2081910279121148e-06,4.000733038754285,0.002765059648655126,2.4576801049624617,305875.60139829706
4,4,0.3535533905932738,0.00032621620956530174,,2.5494219444428927e-05,,0.004679227280730889,,54647.992980859286
8,4,0.1767766952966369,8.312595320793546e-06,5.294385681573965,7.061742034362344e-07,5.17400223710767,0.0005442694612505781,3.1038773110009195,218483.02931375316
16,4,0.08838834764831845,2.2304642788594012e-07,5.2198830305427135,2.1281579596442495e-08,5.052346978356374,5.326384945353003e-05,3.3530924862373435,873823.1826681371
4,5,0.3535533905932738,2.6084813200990524e-05,,1.3699262441010734e-06,,0.0002444715755644952,,155924.15523648576
8,5,0.1767766952966369,6.793103185675032e-07,5.262995523166448,2.2139940692273386e-08,5.95130305384805,6.8451616032174705e-06,5.1584383225843276,623453.978454544
16,5,0.08838834764831845,1.5483873177216982e-08,5.455232467245924,3.4573937575594826e-10,6.000822627853882,1.6158092267506231e-07,5.404755822559917,2493573.2960254713
