N,k,h,err_u,rate_u,err_p,rate_p,err_lambda,rate_lambda,cond_local_max
4,1,0.3535533905932738,0.7993525381612955,,0.05437726296979196,,0.2015348097778089,,784.6602803877742
8,1,0.1767766952966369,0.398638541319048,1.0037507146784657,0.014200484516130962,1.9370633815664517,0.07279439733441752,1.4691297255724318,3088.912396884556
16,1,0.08838834764831845,0.19914885665185522,1.0012340031329983,0.003596973436781396,1.9810847443824888,0.025808592084752113,1.4959759753823685,12304.977923837454
4,2,0.3535533905932738,0.11972940038757235,,0.004270053371338606,,0.018909815069730922,,6715.525424537288
8,2,0.1767766952966369,0.030287057057528908,1.9830041537909304,0.0005442055135805158,2.972030623844734,0.0033905761859580543,2.4795328871267097,26764.064896066466
16,2,0.08838834764831845,0.007586171825236809,1.9972574468274715,6.825869886765173e-05,2.995066753751607,0.0005996696110936212,2.499290692512418,106958.0428621084
4,3,0.3535533905932738,0.012938978075343577,,0.00031144370718826845,,0.001594492390517386,,35299.331084387566
8,3,0.1767766952966369,0.0016423533391086468,2.977887227457347,1.9902166180300806e-05,3.9679740532168384,0.00014419727013488087,3.4669814549309566,141184.53967049
16,3,0.08838834764831845,0.00020610924646750035,2.9942834111528662,1.2516672289046286e-06,3.9910025041344435,1.2824936242752607e-05,3.491020293690393,564725.3598083134
4,4,0.3535533905932738,0.0011619765951516794,,2.0698862791217656e-05,,0.00012349418300732425,,141654.16318318574
8,4,0.1767766952966369,7.359714430428106e-05,3.980787411333692,6.566135769404236e-07,4.978363115951261,5.543285705536037e-06,4.477557910142793,566583.3459883269
16,4,0.08838834764831845,4.6133187163512435e-06,3.9957729171395817,2.059018138928881e-08,4.995016136568788,2.457885713339653e-07,4.495251627225332,2266300.0336346305
4,5,0.3535533905932738,9.199475568957292e-05,,1.236204595563273e-06,,8.516693469655817e-06,,493323.310991819
8,5,0.1767766952966369,2.9159573305389274e-06,4.979510106492308,1.959591973025379e-08,5.979220436019369,1.9131065150309828e-07,5.476304320449113,1973247.8602968915
16,5,0.08838834764831845,9.145546858867045e-08,4.994756359866104,3.0729166679853426e-10,5.994800832736464,4.245999575192135e-09,5.493669162969103,7892946.027823375
