N,k,h,err_u,rate_u,err_p,rate_p,err_lambda,rate_lambda,cond_local_max
4,1,0.3535533905932738,0.7993525381612918,,0.05437726296979186,,0.2015348097778089,,784.6602803877821
8,1,0.1767766952966369,0.39863854131905274,1.0037507146784421,0.014200484516131453,1.9370633815663991,0.07279439733441752,1.4691297255724318,3088.912396884899
16,1,0.08838834764831845,0.19914885665186507,1.001234003132944,0.003596973436777907,1.9810847443839381,0.025808592084752113,1.4959759753823685,12304.977923837529
4,2,0.3535533905932738,0.11785431341655585,,0.004269350821560603,,0.018909815069730922,,5415.160024634082
8,2,0.1767766952966369,0.02976393143957968,1.98536755561843,0.0005441918314513751,2.9718295103480648,0.0033905761859580543,2.4795328871267097,21603.48285074235
16,2,0.08838834764831845,0.007451854014804804,1.9978937842138706,6.825920956285552e-05,2.995019687957107,0.0005996696110936212,2.499290692512418,86356.82368262594
4,3,0.3535533905932738,0.012256330241833239,,0.00031071681277214635,,0.001594492390517386,,19136.31290116459
8,3,0.1767766952966369,0.0015523243092420023,2.981025175942218,1.985255871123995e-05,3.9682034400208135,0.00014419727013488087,3.4669814549309566,76484.17156456017
16,3,0.08838834764831845,0.00019469432643815489,2.9951472462791195,1.2484679546774868e-06,3.9910942659694246,1.2824936242752607e-05,3.491020293690393,305875.60139829706
4,4,0.3535533905932738,0.00103957268567434,,2.058763594699959e-05,,0.00012349418300732425,,54647.992980859286
8,4,0.1767766952966369,6.570356405032185e-05,3.9838751922079516,6.530645526931088e-07,4.978408763175952,5.543285705536037e-06,4.477557910142793,218483.02931375316
16,4,0.08838834764831845,4.115363439213858e-06,3.9968798809898844,2.0478620261812523e-08,4.995035180406372,2.457885713339653e-07,4.495251627225332,873823.1826681371
4,5,0.3535533905932738,8.017472992223791e-05,,1.2397602487855968e-06,,8.516693469655817e-06,,155924.15523648576
8,5,0.1767766952966369,2.5406901477767466e-06,4.979855242771475,1.9653890097008807e-08,5.979102448008398,1.9131065150309828e-07,5.476304320449113,623453.978454544
16,5,0.08838834764831845,7.9688759503403e-08,4.9947003914396175,3.081898280947167e-10,5.994851837317615,4.245999575192135e-09,5.493669162969103,2493573.2960254713
